comparison,n_pairs,mean_A,mean_B,mean_difference_A_minus_B,median_difference,paired_ci95_low,paired_ci95_high,A_wins,ties,B_wins,wilcoxon_p
"MLP vs RNN, seq20",16,131.0045166015625,113.260986328125,17.7435302734375,38.9677734375,-18.773373413085938,51.161206054687476,11,0,5,0.252227783203125
"MLP vs RNN, seq100",16,449.134033203125,63.2152099609375,385.9188232421875,426.9912109375,343.72409973144534,424.0768310546875,16,0,0,3.0517578125e-05
MLP seq100 vs teacher,16,449.134033203125,388.78466796875,60.349365234375,60.458984375,-15.965475463867186,136.5876312255859,10,1,5,0.15563546075803855
MLP seq100 vs MLP seq20,16,449.134033203125,131.0045166015625,318.1295166015625,362.9853515625,265.50928649902346,364.52077026367186,16,0,0,3.0517578125e-05
RNN seq100 vs RNN seq20,16,63.2152099609375,113.260986328125,-50.0457763671875,-24.2470703125,-92.66249389648438,-8.713925170898449,5,0,11,0.07391357421875
