model,architecture,hsize,seq_length,updates,environment,n,mean,std,median,ci95_low,ci95_high,min,max,n_at_500
teacher,RNN teacher,32,,,cartpole,16,388.78466796875,107.2289868723062,408.3583984375,335.2350708007813,436.3452972412109,142.78125,500.0,3
rnn_h32_seq20,RNN,32,20.0,900.0,cartpole,16,113.260986328125,84.67255385711533,78.2705078125,75.6211944580078,155.52004089355466,11.294921875,270.142578125,0
rnn_h32_seq100,RNN,32,100.0,900.0,cartpole,16,63.2152099609375,21.197824515502482,55.7822265625,53.726995849609374,73.83193359375,39.935546875,108.91796875,0
rnn_h16_seq20,RNN,16,20.0,900.0,cartpole,16,190.723876953125,114.06988056457185,172.8203125,139.9857208251953,247.80071716308595,61.818359375,459.54296875,0
rnn_h16_seq100,RNN,16,100.0,900.0,cartpole,16,145.3577880859375,90.69459702492719,127.494140625,108.94655151367188,193.3595520019531,40.171875,428.787109375,0
mlp_h32_seq20,MLP,32,20.0,900.0,cartpole,16,131.0045166015625,36.67440644888845,127.935546875,113.12162475585937,148.52929077148437,55.00390625,202.478515625,0
mlp_h32_seq100,MLP,32,100.0,900.0,cartpole,16,449.134033203125,81.38785062931264,500.0,408.3917297363281,484.953125,273.14453125,500.0,11
