row_type,id,condition_A,condition_B,n,mean_A,mean_B,sd,median,min,max,mean_difference,median_difference,ci95_low,ci95_high,A_wins,ties,B_wins,wilcoxon_p,scores
condition,teacher,teacher,,16,2579.192543029785,,553.0181187394292,2500.995361328125,1454.5810546875,3684.250732421875,,,2316.1889921188354,2844.126393699646,,,,,3269.77001953125|2160.078125|1454.5810546875|2279.74609375|3083.22314453125|2320.108154296875|2552.83056640625|2445.831787109375|2362.484130859375|3307.486328125|2612.844482421875|2776.236328125|3684.250732421875|2525.999755859375|1955.6190185546875|2475.990966796875
condition,corrected_rnn_seq20,corrected_rnn_seq20,,16,-383.9364643096924,,223.32113142363602,-282.9169921875,-942.3070678710938,-253.77978515625,,,-498.9418970584869,-283.93693218231203,,,,,-253.77978515625|-282.85491943359375|-269.9708251953125|-295.44769287109375|-789.3478393554688|-942.3070678710938|-289.7767333984375|-310.5150146484375|-274.6842956542969|-274.83087158203125|-302.9737243652344|-282.97906494140625|-281.4395446777344|-260.72149658203125|-282.51519775390625|-748.83935546875
condition,corrected_rnn_seq100,corrected_rnn_seq100,,16,525.0117340087891,,50.05904417627504,526.2266235351562,432.0124206542969,617.0104370117188,,,501.25101075172427,548.9592364311218,,,,,522.0335083007812|566.0200805664062|551.9434814453125|553.7741088867188|506.116455078125|517.7969970703125|466.472412109375|552.9922485351562|617.0104370117188|495.23785400390625|530.4197387695312|573.7763061523438|451.1828308105469|432.0124206542969|488.224609375|575.1742553710938
condition,mlp_seq20,mlp_seq20,,16,644.5890045166016,,28.098313742340892,650.2092590332031,597.7848510742188,689.677734375,,,631.120308303833,657.8954130172729,,,,,664.9802856445312|670.4287109375|619.6036987304688|689.677734375|629.556640625|648.207275390625|629.2736206054688|684.9873657226562|597.7848510742188|652.2112426757812|658.9302978515625|612.6738891601562|602.3234252929688|630.6567993164062|661.1057739257812|661.0224609375
condition,mlp_seq100,mlp_seq100,,16,3888.0265197753906,,467.47201813621825,3989.703125,2666.70263671875,4444.85498046875,,,3645.3343532562258,4084.537218475342,,,,,2890.703369140625|4228.708984375|4101.62109375|3880.61962890625|3924.15869140625|3995.542236328125|4249.22216796875|3946.63525390625|4106.02685546875|3716.282470703125|3900.21142578125|3983.864013671875|4023.94921875|4444.85498046875|4149.3212890625|2666.70263671875
comparison,A,corrected_rnn_seq20,mlp_seq20,16,-383.9364643096924,644.5890045166016,,,,,-1028.525468826294,-935.33154296875,-1145.4120339870453,-931.8683357238773,0,0,16,3.0517578125e-05,
comparison,B,corrected_rnn_seq100,mlp_seq100,16,525.0117340087891,3888.0265197753906,,,,,-3363.0147857666016,-3447.8937377929688,-3567.122979259491,-3112.845869541168,0,0,16,3.0517578125e-05,
comparison,C,corrected_rnn_seq100,corrected_rnn_seq20,16,525.0117340087891,-383.9364643096924,,,,,908.9481983184814,841.1342315673828,809.5094212532043,1027.2075596809386,16,0,0,3.0517578125e-05,
comparison,D,mlp_seq100,mlp_seq20,16,3888.0265197753906,644.5890045166016,,,,,3243.437515258789,3359.2625427246094,2996.5784136772154,3444.406524562836,16,0,0,3.0517578125e-05,
comparison,E,corrected_rnn_seq20,teacher,16,-383.9364643096924,2579.192543029785,,,,,-2963.1290073394775,-2879.2127532958984,-3244.6275821208956,-2675.3376371860504,0,0,16,3.0517578125e-05,
comparison,F,corrected_rnn_seq100,teacher,16,525.0117340087891,2579.192543029785,,,,,-2054.180809020996,-1991.6207275390625,-2329.4431624412537,-1781.2922985076914,0,0,16,3.0517578125e-05,
comparison,G,mlp_seq20,teacher,16,644.5890045166016,2579.192543029785,,,,,-1934.6035385131836,-1855.1557312011719,-2203.3934339523316,-1669.6682609558106,0,0,16,3.0517578125e-05,
comparison,H,mlp_seq100,teacher,16,3888.0265197753906,2579.192543029785,,,,,1308.8339767456055,1550.8385009765625,907.1859159469604,1689.8294155120848,15,0,1,0.000152587890625,
