condition,parameter_count,evaluation_runtime_seconds,runtime_minutes
teacher,3571,840.4225194454193,14.007041990756989
rnn_h32_seq20,3571,833.3229279518127,13.888715465863546
rnn_h32_seq100,3571,832.9268276691437,13.882113794485727
mlp_h32_seq20,1923,540.5069177150726,9.008448628584544
mlp_h32_seq100,1923,538.6528680324554,8.977547800540924
