model,n,mean,median,std,min,max,bootstrap_ci95_low,bootstrap_ci95_high,teacher_retention_pct
teacher,16,56.786773681640625,59.21697998046875,10.913778892232791,34.7144775390625,72.088623046875,51.447066688537596,61.76674823760986,100.0
rnn_h32_seq20,16,0.09427642822265625,0.0,0.20269574374264965,0.0,0.5081787109375,0.0,0.18926239013671875,0.16601828579167224
rnn_h32_seq100,16,0.36907196044921875,0.40301513671875,0.14528512299454996,0.0,0.52783203125,0.29222831726074217,0.4285293579101561,0.6499259185216594
mlp_h32_seq20,16,6.995674133300781,6.07183837890625,4.109044880043323,0.8369140625,15.2000732421875,5.096540832519532,9.007355499267579,12.319196319410745
mlp_h32_seq100,16,7.718597412109375,2.02313232421875,10.414773834852683,0.441650390625,27.3004150390625,3.16599063873291,13.01428184509276,13.592245010046813
