seed_index,teacher,rnn_h32_seq20,rnn_h32_seq100,mlp_h32_seq20,mlp_h32_seq100
0,72.088623046875,0.0,0.03076171875,0.8369140625,2.9581298828125
1,38.81884765625,0.0,0.4056396484375,3.684326171875,1.9384765625
2,68.3797607421875,0.0,0.41015625,8.758544921875,1.13525390625
3,51.61328125,0.0,0.366455078125,12.1282958984375,0.441650390625
4,55.4669189453125,0.0,0.4520263671875,15.2000732421875,0.674072265625
5,52.81884765625,0.0,0.400390625,11.26513671875,19.015869140625
6,57.398681640625,0.5081787109375,0.52783203125,13.050537109375,26.794677734375
7,34.7144775390625,0.0,0.4180908203125,8.39697265625,7.751708984375
8,62.726806640625,0.0,0.4349365234375,4.647216796875,27.3004150390625
9,53.079345703125,0.0,0.354248046875,3.440673828125,2.1077880859375
10,62.16748046875,0.501220703125,0.5052490234375,5.023681640625,3.855712890625
11,62.908203125,0.0,0.0,6.12060546875,0.6224365234375
12,61.0352783203125,0.0,0.395751953125,6.1402587890625,0.6123046875
13,68.5628662109375,0.0,0.3995361328125,6.0230712890625,1.1182861328125
14,41.820068359375,0.4990234375,0.4183349609375,4.892333984375,1.5357666015625
15,64.9888916015625,0.0,0.3857421875,2.3221435546875,25.635009765625
