comparison,n_pairs,mean_A,mean_B,mean_difference_A_minus_B,median_difference,paired_ci95_low,paired_ci95_high,A_wins,B_wins,ties,wilcoxon_statistic,wilcoxon_p
"MLP vs RNN, seq20",16,6.995674133300781,0.09427642822265625,6.901397705078125,6.07183837890625,5.009274864196778,8.916099739074705,16,0,0,0.0,3.0517578125e-05
"MLP vs RNN, seq100",16,7.718597412109375,0.36907196044921875,7.349525451660156,1.6431884765625,2.811920738220215,12.628958511352534,16,0,0,0.0,3.0517578125e-05
RNN seq100 vs seq20,16,0.36907196044921875,0.09427642822265625,0.2747955322265625,0.3907470703125,0.17468929290771484,0.36202621459960904,14,1,1,4.0,0.0014697736899423487
MLP seq100 vs seq20,16,7.718597412109375,6.995674133300781,0.7229232788085938,-1.53936767578125,-4.135179710388184,6.206961250305166,5,11,0,60.0,0.705718994140625
